,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,x_7,y_7,v_7,a_7,yaw_7,width_7,length_7,x_8,y_8,v_8,a_8,yaw_8,width_8,length_8,end
1.920000000000001,229.7623695580749,6.550000000000002,32.463976439628574,0,3.141592653589793,1.92,4.04,193.35,6.65,23.5,0.0,3.142,2.5,16.98,207.76,2.62,35.0,0.0,3.142,2.02,5.15,259.12,10.77,25.0,-6.25,3.142,2.5,19.4,288.0,5.28,33.76,-6.0,3.171,2.02,4.55,323.64,10.74,24.25,0.0,3.131,1.82,4.04,317.61,6.86,32.0,0.0,3.134,2.02,4.95,400.33,6.9,23.0,0.0,3.142,2.5,12.63,431.74,3.02,37.08,0.0,3.142,2.02,4.75,-1
1.960000000000001,228.46381050048976,6.550000000000002,32.463976439628574,0,3.141592653589793,1.92,4.04,192.41,6.65,23.5,6.25,3.142,2.5,16.98,206.36,2.62,35.0,6.25,3.142,2.02,5.15,258.12,10.77,24.75,6.25,3.152,2.5,19.4,286.65,5.24,33.52,6.0,3.179,2.02,4.55,322.67,10.75,24.25,6.25,3.131,1.82,4.04,316.33,6.87,32.0,0.0,3.126,2.02,4.95,399.42,6.9,23.0,6.25,3.142,2.5,12.63,430.25,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.000000000000001,227.1652514429046,6.550000000000002,32.463976439628574,0,3.141592653589793,1.92,4.04,191.47,6.65,23.75,0.0,3.142,2.5,16.98,204.96,2.62,35.25,-6.25,3.142,2.02,5.15,257.13,10.76,25.0,6.25,3.142,2.5,19.4,285.31,5.19,33.76,6.5,3.171,2.02,4.55,321.7,10.76,24.5,-6.25,3.131,1.82,4.04,315.05,6.89,32.0,6.25,3.134,2.02,4.95,398.5,6.9,23.25,6.25,3.142,2.5,12.63,428.77,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.040000000000001,225.86669238531945,6.550000000000002,32.463976439628574,0,3.141592653589793,1.92,4.04,190.52,6.65,23.75,0.0,3.142,2.5,16.98,203.55,2.62,35.0,12.5,3.142,2.02,5.15,256.13,10.76,25.25,0.0,3.151,2.5,19.4,283.96,5.15,34.02,6.0,3.178,2.02,4.55,320.72,10.77,24.25,18.75,3.131,1.82,4.04,313.77,6.9,32.25,6.25,3.126,2.02,4.95,397.56,6.9,23.5,18.75,3.142,2.5,12.63,427.29,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.080000000000001,224.5681333277343,6.550000000000002,31.863976439628573,-15.0,3.141592653589793,1.92,4.04,189.57,6.65,23.75,0.0,3.142,2.5,16.98,202.16,2.62,35.5,-6.25,3.142,2.02,5.15,255.12,10.75,25.25,0.0,3.142,2.5,19.4,282.6,5.1,34.26,6.5,3.171,2.02,4.55,319.75,10.78,25.0,-6.25,3.142,1.82,4.04,312.48,6.92,32.5,0.0,3.126,2.02,4.95,396.62,6.9,24.25,-6.25,3.142,2.5,12.63,425.8,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.120000000000001,223.29357427014915,6.550000000000002,31.863976439628573,0,3.141592653589793,1.92,4.04,188.62,6.65,23.75,-6.25,3.142,2.5,16.98,200.73,2.62,35.25,6.25,3.142,2.02,5.15,254.11,10.75,25.25,-6.25,3.142,2.5,19.4,281.23,5.06,34.52,-0.25,3.178,2.02,4.55,318.75,10.78,24.75,-6.25,3.131,1.82,4.04,311.18,6.94,32.5,0.0,3.134,2.02,4.95,395.65,6.9,24.0,6.25,3.142,2.5,12.63,424.32,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.160000000000001,222.019015212564,6.550000000000002,31.863976439628573,0,3.141592653589793,1.92,4.04,187.67,6.65,23.5,0.0,3.142,2.5,16.98,199.32,2.62,35.5,-6.25,3.135,2.02,5.15,253.1,10.75,25.0,0.0,3.152,2.5,19.4,279.85,5.01,34.51,-12.25,3.171,2.02,4.55,317.76,10.79,24.5,0.0,3.131,1.82,4.04,309.88,6.95,32.5,-6.25,3.126,2.02,4.95,394.69,6.9,24.25,-12.5,3.142,2.5,12.63,422.84,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.200000000000001,220.74445615497885,6.550000000000002,31.863976439628573,0,3.141592653589793,1.92,4.04,186.73,6.65,23.5,0.0,3.142,2.5,16.98,197.91,2.63,35.25,0.0,3.142,2.02,5.15,252.1,10.74,25.0,-6.25,3.142,2.5,19.4,278.47,4.97,34.02,0.0,3.178,2.02,4.55,316.78,10.8,24.5,0.0,3.131,1.82,4.04,308.58,6.97,32.25,-6.25,3.134,2.02,4.95,393.73,6.9,23.75,0.0,3.142,2.5,12.63,421.35,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.240000000000001,219.4698970973937,6.550000000000002,31.26397643962857,-15.0,3.141592653589793,1.92,4.04,185.79,6.65,23.5,0.0,3.142,2.5,16.98,196.49,2.63,35.25,0.0,3.142,2.02,5.15,251.1,10.74,24.75,0.0,3.152,2.5,19.4,277.11,4.92,34.02,6.0,3.178,2.02,4.55,315.8,10.81,24.5,-6.25,3.131,1.82,4.04,307.29,6.98,32.0,0.0,3.126,2.02,4.95,392.77,6.9,23.75,0.0,3.142,2.5,12.63,419.87,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.280000000000001,218.21933803980855,6.550000000000002,31.26397643962857,0,3.141592653589793,1.92,4.04,184.85,6.65,23.5,0.0,3.142,2.5,16.98,195.08,2.63,35.25,0.0,3.142,2.02,5.15,250.11,10.73,24.75,0.0,3.142,2.5,19.4,275.75,4.87,34.26,-6.0,3.171,2.02,4.55,314.82,10.82,24.25,0.0,3.131,1.82,4.04,306.0,7.0,32.0,0.0,3.134,2.02,4.95,391.82,6.9,23.75,-12.5,3.142,2.5,12.63,418.39,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.320000000000001,216.9687789822234,6.550000000000002,31.26397643962857,0,3.141592653589793,1.92,4.04,183.91,6.65,23.5,-6.25,3.142,2.5,16.98,193.67,2.63,35.25,6.25,3.142,2.02,5.15,249.12,10.73,24.75,6.25,3.152,2.5,19.4,274.38,4.83,34.02,-0.25,3.178,2.02,4.55,313.85,10.83,24.25,12.5,3.142,1.82,4.04,304.73,7.01,32.0,0.0,3.134,2.02,4.95,390.88,6.9,23.25,6.25,3.142,2.5,12.63,416.9,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.360000000000001,215.71821992463825,6.550000000000002,31.26397643962857,0,3.141592653589793,1.92,4.04,182.97,6.65,23.25,6.25,3.142,2.5,16.98,192.26,2.63,35.5,-6.25,3.142,2.02,5.15,248.13,10.72,25.0,6.25,3.142,2.5,19.4,273.02,4.78,34.01,6.5,3.171,2.02,4.55,312.88,10.83,24.75,0.0,3.131,1.82,4.04,303.45,7.02,32.0,0.0,3.126,2.02,4.95,389.94,6.9,23.5,6.25,3.142,2.5,12.63,415.42,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.4000000000000012,214.4676608670531,6.550000000000002,30.66397643962857,-15.0,3.141592653589793,1.92,4.04,182.04,6.65,23.5,6.25,3.142,2.5,16.98,190.84,2.63,35.25,6.25,3.135,2.02,5.15,247.13,10.72,25.25,-6.25,3.151,2.5,19.4,271.66,4.74,34.27,-0.25,3.178,2.02,4.55,311.89,10.84,24.75,-6.25,3.131,1.82,4.04,302.17,7.04,32.0,-6.25,3.134,2.02,4.95,389.0,6.9,23.75,6.25,3.142,2.5,12.63,413.94,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.4400000000000013,213.24110180946795,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,181.1,6.65,23.75,-6.25,3.142,2.5,16.98,189.44,2.64,35.5,-6.25,3.142,2.02,5.15,246.12,10.71,25.0,0.0,3.142,2.5,19.4,270.29,4.69,34.26,0.25,3.171,2.02,4.55,310.9,10.85,24.5,0.0,3.131,1.82,4.04,300.89,7.05,31.75,12.5,3.126,2.02,4.95,388.06,6.9,24.0,-6.25,3.142,2.5,12.63,412.45,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.4800000000000013,212.0145427518828,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,180.15,6.65,23.5,6.25,3.142,2.5,16.98,188.01,2.64,35.25,6.25,3.142,2.02,5.15,245.12,10.71,25.0,0.0,3.152,2.5,19.4,268.92,4.65,34.27,6.0,3.178,2.02,4.55,309.92,10.86,24.5,12.5,3.131,1.82,4.04,299.62,7.07,32.25,-6.25,3.134,2.02,4.95,387.09,6.9,23.75,18.75,3.142,2.5,12.63,410.97,3.02,37.08,0.0,3.142,2.02,4.75,-1
2.5200000000000014,210.78798369429765,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,179.21,6.65,23.75,-6.25,3.142,2.5,16.98,186.6,2.64,35.5,-6.25,3.142,2.02,5.15,244.12,10.7,25.0,0.0,3.142,2.5,19.4,267.55,4.6,34.51,0.25,3.171,2.02,4.55,308.94,10.87,25.0,-12.5,3.142,1.82,4.04,298.33,7.08,32.0,12.5,3.134,2.02,4.95,386.14,6.9,24.5,-6.25,3.142,2.5,12.63,409.49,3.02,37.08,-77.0,3.142,2.02,4.75,-1
2.5600000000000014,209.5614246367125,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,178.26,6.65,23.5,6.25,3.142,2.5,16.98,185.19,2.64,35.25,-6.25,3.142,2.02,5.15,243.12,10.7,25.0,0.0,3.152,2.5,19.4,266.17,4.56,34.52,-0.25,3.178,2.02,4.55,307.94,10.87,24.5,-6.25,3.131,1.82,4.04,297.05,7.09,32.5,-12.5,3.126,2.02,4.95,385.17,6.9,24.25,0.0,3.142,2.5,12.63,408.0,3.02,34.0,25.0,3.134,2.02,4.75,-1
2.6000000000000014,208.33486557912735,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,177.32,6.65,23.75,0.0,3.142,2.5,16.98,183.77,2.64,35.0,12.5,3.142,2.02,5.15,242.12,10.69,25.0,0.0,3.142,2.5,19.4,264.79,4.51,34.51,-6.25,3.171,2.02,4.55,306.96,10.88,24.25,12.5,3.131,1.82,4.04,295.75,7.11,32.0,0.0,3.134,2.02,4.95,384.19,6.9,24.25,-6.25,3.142,2.5,12.63,406.64,3.03,35.0,18.75,3.142,2.02,4.75,-1
2.6400000000000015,207.1083065215422,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,176.37,6.65,23.75,0.0,3.131,2.5,16.98,182.38,2.64,35.5,-6.25,3.135,2.02,5.15,241.12,10.69,25.0,-6.25,3.152,2.5,19.4,263.41,4.47,34.26,12.75,3.171,2.02,4.55,305.99,10.89,24.75,0.0,3.131,1.82,4.04,294.47,7.12,32.0,0.0,3.134,2.02,4.95,383.23,6.9,24.0,-6.25,3.142,2.5,12.63,405.25,3.03,35.75,12.5,3.142,2.02,4.75,-1
2.6800000000000015,205.88174746395705,6.550000000000002,30.66397643962857,0,3.141592653589793,1.92,4.04,175.42,6.66,23.75,0.0,3.142,2.5,16.98,180.95,2.65,35.25,-6.25,3.142,2.02,5.15,240.12,10.68,24.75,12.5,3.152,2.5,19.4,262.04,4.43,34.77,-12.75,3.178,2.02,4.55,305.0,10.9,24.75,-6.25,3.142,1.82,4.04,293.19,7.13,32.0,0.0,3.134,2.02,4.95,382.26,6.9,23.75,6.25,3.142,2.5,12.63,403.81,3.03,36.25,12.5,3.142,2.02,4.75,-1
2.7200000000000015,204.6551884063719,6.550000000000002,30.06397643962857,-15.0,3.141592653589793,1.92,4.04,174.47,6.66,23.75,0.0,3.142,2.5,16.98,179.54,2.65,35.0,12.5,3.142,2.02,5.15,239.13,10.67,25.25,-12.5,3.142,2.5,19.4,260.65,4.38,34.26,6.25,3.171,2.02,4.55,304.01,10.9,24.5,0.0,3.131,1.82,4.04,291.91,7.14,32.0,0.0,3.126,2.02,4.95,381.31,6.9,24.0,-6.25,3.142,2.5,12.63,402.37,3.03,36.75,6.25,3.142,2.02,4.75,-1
2.7600000000000016,203.45262934878676,6.550000000000002,30.06397643962857,0,3.141592653589793,1.92,4.04,173.52,6.66,23.75,-6.25,3.142,2.5,16.98,178.14,2.65,35.5,-6.25,3.142,2.02,5.15,238.12,10.67,24.75,12.5,3.152,2.5,19.4,259.28,4.34,34.51,6.25,3.171,2.02,4.55,303.03,10.91,24.5,0.0,3.131,1.82,4.04,290.62,7.16,32.0,0.0,3.134,2.02,4.95,380.36,6.9,23.75,0.0,3.142,2.5,12.63,400.89,3.03,37.0,12.5,3.142,2.02,4.75,-1
2.8000000000000016,202.2500702912016,6.550000000000002,30.06397643962857,0,3.141592653589793,1.92,4.04,172.57,6.66,23.5,0.0,3.142,2.5,16.98,176.72,2.65,35.25,0.0,3.142,2.02,5.15,237.13,10.66,25.25,-6.25,3.142,2.5,19.4,257.9,4.3,34.76,-6.25,3.17,2.02,4.55,302.05,10.92,24.5,0.0,3.142,1.82,4.04,289.35,7.17,32.0,-6.25,3.134,2.02,4.95,379.4,6.9,23.75,6.25,3.142,2.5,12.63,399.42,3.03,37.5,0.0,3.142,2.02,4.75,-1
2.8400000000000016,201.04751123361646,6.550000000000002,29.463976439628567,-15.0,3.141592653589793,1.92,4.04,171.63,6.66,23.5,6.25,3.142,2.5,16.98,175.31,2.65,35.25,6.25,3.135,2.02,5.15,236.12,10.66,25.0,6.25,3.152,2.5,19.4,256.51,4.26,34.51,0.0,3.171,2.02,4.55,301.07,10.92,24.5,0.0,3.131,1.82,4.04,288.06,7.18,31.75,6.25,3.134,2.02,4.95,378.45,6.9,24.0,-6.25,3.131,2.5,12.63,397.92,3.03,37.5,-6.25,3.142,2.02,4.75,-1
2.8800000000000017,199.8689521760313,6.550000000000002,29.463976439628567,0,3.141592653589793,1.92,4.04,170.69,6.66,23.75,-6.25,3.142,2.5,16.98,173.91,2.66,35.5,-6.25,3.142,2.02,5.15,235.12,10.65,25.25,-12.5,3.151,2.5,19.4,255.14,4.22,34.51,0.0,3.171,2.02,4.55,300.09,10.93,24.5,-6.25,3.131,1.82,4.04,286.8,7.19,32.0,-12.5,3.134,2.02,4.95,377.5,6.91,23.75,-6.25,3.142,2.5,12.63,396.42,3.03,37.25,-6.25,3.135,2.02,4.75,-1
2.9200000000000017,198.69039311844617,6.550000000000002,29.463976439628567,0,3.141592653589793,1.92,4.04,169.74,6.66,23.5,0.0,3.142,2.5,16.98,172.48,2.66,35.25,0.0,3.142,2.02,5.15,234.11,10.64,24.75,6.25,3.142,2.5,19.4,253.75,4.18,34.51,0.0,3.171,2.02,4.55,299.11,10.94,24.25,-6.25,3.142,1.82,4.04,285.52,7.2,31.5,6.25,3.126,2.02,4.95,376.55,6.91,23.5,12.5,3.142,2.5,12.63,394.93,3.04,37.0,6.25,3.142,2.02,4.75,-1
2.9600000000000017,197.51183406086102,6.550000000000002,29.463976439628567,0,3.141592653589793,1.92,4.04,168.8,6.66,23.5,0.0,3.142,2.5,16.98,171.07,2.66,35.25,6.25,3.135,2.02,5.15,233.12,10.64,25.0,0.0,3.152,2.5,19.4,252.38,4.14,34.51,0.0,3.171,2.02,4.55,298.14,10.94,24.0,0.0,3.131,1.82,4.04,284.25,7.22,31.75,0.0,3.134,2.02,4.95,375.61,6.91,24.0,0.0,3.142,2.5,12.63,393.44,3.04,37.25,6.25,3.142,2.02,4.75,-1
3.0000000000000018,196.33327500327587,6.550000000000002,29.463976439628567,0,3.141592653589793,1.92,4.04,167.86,6.66,23.5,6.25,3.131,2.5,16.98,169.66,2.67,35.5,-6.25,3.142,2.02,5.15,232.12,10.63,25.0,-6.25,3.152,2.5,19.4,251.0,4.1,34.51,0.0,3.163,2.02,4.55,297.18,10.95,24.0,31.25,3.131,1.82,4.04,282.99,7.23,31.75,6.25,3.134,2.02,4.95,374.64,6.91,24.0,6.25,3.142,2.5,12.63,391.95,3.04,37.5,6.25,3.142,2.02,4.75,-1
3.040000000000002,195.15471594569073,6.550000000000002,29.463976439628567,0,3.141592653589793,1.92,4.04,166.92,6.67,23.75,-6.25,3.142,2.5,16.98,168.24,2.67,35.25,6.25,3.142,2.02,5.15,231.12,10.62,24.75,0.0,3.142,2.5,19.4,249.62,4.07,34.51,6.25,3.171,2.02,4.55,296.22,10.96,25.25,-12.5,3.142,1.82,4.04,281.72,7.24,32.0,-6.25,3.134,2.02,4.95,373.69,6.91,24.25,0.0,3.142,2.5,12.63,390.45,3.04,37.75,0.0,3.142,2.02,4.75,-1
3.080000000000002,193.97615688810558,6.550000000000002,29.463976439628567,0,3.141592653589793,1.92,4.04,165.97,6.67,23.5,0.0,3.142,2.5,16.98,166.83,2.67,35.5,-6.25,3.135,2.02,5.15,230.13,10.62,24.75,6.25,3.152,2.5,19.4,248.24,4.03,34.76,-6.25,3.17,2.02,4.55,295.21,10.96,24.75,-12.5,3.131,1.82,4.04,280.44,7.25,31.75,-6.25,3.134,2.02,4.95,372.71,6.91,24.25,-18.75,3.142,2.5,12.63,388.94,3.04,37.75,-12.5,3.142,2.02,4.75,-1
3.120000000000002,192.79759783052043,6.550000000000002,28.863976439628566,-15.0,2.967059801679828,1.92,4.04,165.03,6.67,23.5,0.0,3.142,2.5,16.98,165.41,2.68,35.25,6.25,3.142,2.02,5.15,229.14,10.61,25.0,-6.25,3.142,2.5,19.4,246.84,3.99,34.51,6.25,3.163,2.02,4.55,294.22,10.97,24.25,12.5,3.142,1.82,4.04,279.17,7.26,31.5,0.0,3.134,2.02,4.95,371.75,6.91,23.5,0.0,3.142,2.5,12.63,387.44,3.04,37.25,-6.25,3.142,2.02,4.75,-1
3.160000000000002,191.6605791046065,6.750486993027013,28.863976439628566,0,2.9670596535899216,1.92,4.04,164.09,6.67,23.5,0.0,3.142,2.5,16.98,164.0,2.68,35.5,-6.25,3.142,2.02,5.15,228.14,10.61,24.75,0.0,3.152,2.5,19.4,245.47,3.96,34.76,-6.25,3.163,2.02,4.55,293.25,10.97,24.75,-6.25,3.131,1.82,4.04,277.91,7.27,31.5,-6.25,3.134,2.02,4.95,370.81,6.91,23.5,0.0,3.142,2.5,12.63,385.94,3.04,37.0,6.25,3.142,2.02,4.75,-1
3.200000000000002,190.5235604083827,6.950974154435019,28.863976439628566,0,2.9670596535897933,1.92,4.04,163.15,6.67,23.5,0.0,3.142,2.5,16.98,162.58,2.68,35.25,6.25,3.135,2.02,5.15,227.15,10.6,24.75,0.0,3.152,2.5,19.4,244.08,3.93,34.51,0.0,3.171,2.02,4.55,292.26,10.98,24.5,0.0,3.142,1.82,4.04,276.65,7.28,31.25,6.25,3.134,2.02,4.95,369.87,6.91,23.5,6.25,3.142,2.5,12.63,384.46,3.04,37.25,0.0,3.142,2.02,4.75,-1
3.240000000000002,189.38654171215893,7.1514613158431715,28.863976439628566,0,3.14159250242139,1.92,4.04,162.21,6.67,23.5,6.25,3.142,2.5,16.98,161.17,2.69,35.5,-12.5,3.142,2.02,5.15,226.16,10.59,24.75,0.0,3.142,2.5,19.4,242.69,3.89,34.51,0.0,3.163,2.02,4.55,291.28,10.98,24.5,-6.25,3.131,1.82,4.04,275.4,7.29,31.5,-6.25,3.134,2.02,4.95,368.93,6.91,23.75,-6.25,3.142,2.5,12.63,382.98,3.04,37.25,0.0,3.142,2.02,4.75,-1
3.280000000000002,188.2319826545738,7.151461490376021,28.863976439628566,0,3.141592653589662,1.92,4.04,161.27,6.67,23.75,-6.25,3.142,2.5,16.98,159.75,2.69,35.0,0.0,3.134,2.02,5.15,225.17,10.59,24.75,6.25,3.152,2.5,19.4,241.31,3.86,34.51,6.25,3.163,2.02,4.55,290.3,10.99,24.25,12.5,3.142,1.82,4.04,274.14,7.3,31.25,0.0,3.134,2.02,4.95,367.98,6.91,23.5,18.75,3.131,2.5,12.63,381.49,3.04,37.25,6.25,3.135,2.02,4.75,-1
3.320000000000002,187.07742359698867,7.151461490376172,28.863976439628566,0,3.141592653589793,1.92,4.04,160.32,6.67,23.5,6.25,3.142,2.5,16.98,158.35,2.7,35.0,6.25,3.142,2.02,5.15,224.18,10.58,25.0,0.0,3.152,2.5,19.4,239.94,3.83,34.76,0.0,3.163,2.02,4.55,289.33,10.99,24.75,-6.25,3.131,1.82,4.04,272.89,7.31,31.25,0.0,3.134,2.02,4.95,367.04,6.92,24.25,-6.25,3.142,2.5,12.63,380.0,3.05,37.5,-6.25,3.142,2.02,4.75,-1
3.360000000000002,185.92286453940352,7.151461490376172,28.263976439628564,-15.0,3.141592653589793,1.92,4.04,159.38,6.67,23.75,0.0,3.142,2.5,16.98,156.95,2.7,35.25,6.25,3.135,2.02,5.15,223.18,10.57,25.0,-6.25,3.142,2.5,19.4,238.55,3.8,34.76,-6.25,3.163,2.02,4.55,288.34,11.0,24.5,-6.25,3.142,1.82,4.04,271.64,7.32,31.25,12.5,3.134,2.02,4.95,366.06,6.92,24.0,0.0,3.142,2.5,12.63,378.5,3.05,37.25,12.5,3.142,2.02,4.75,-1
3.400000000000002,184.79230548181837,7.151461490376172,28.263976439628564,0,3.141592653589793,1.92,4.04,158.43,6.67,23.75,6.25,3.142,2.5,16.98,155.54,2.71,35.5,0.0,3.135,2.02,5.15,222.18,10.57,24.75,6.25,3.152,2.5,19.4,237.16,3.77,34.51,12.5,3.163,2.02,4.55,287.36,11.0,24.25,6.25,3.142,1.82,4.04,270.39,7.33,31.75,-6.25,3.134,2.02,4.95,365.11,6.92,24.0,0.0,3.142,2.5,12.63,377.0,3.05,37.75,-6.25,3.142,2.02,4.75,-1
3.440000000000002,183.66174642423323,7.151461490376172,28.263976439628564,0,3.141592653589793,1.92,4.04,157.48,6.67,24.0,-6.25,3.142,2.5,16.98,154.12,2.72,35.5,-6.25,3.142,2.02,5.15,221.19,10.56,25.0,0.0,3.142,2.5,19.4,235.78,3.74,35.01,-0.25,3.163,2.02,4.55,286.39,11.0,24.5,0.0,3.131,1.82,4.04,269.12,7.34,31.5,0.0,3.134,2.02,4.95,364.14,6.92,24.0,-6.25,3.142,2.5,12.63,375.5,3.05,37.5,0.0,3.135,2.02,4.75,-1
3.480000000000002,182.53118736664808,7.151461490376172,28.263976439628564,0,3.141592653589793,1.92,4.04,156.52,6.67,23.75,-6.25,3.131,2.5,16.98,152.7,2.72,35.25,6.25,3.135,2.02,5.15,220.19,10.56,25.0,-6.25,3.152,2.5,19.4,234.38,3.71,35.0,6.5,3.156,2.02,4.55,285.41,11.01,24.5,-6.25,3.142,1.82,4.04,267.86,7.35,31.5,0.0,3.134,2.02,4.95,363.19,6.92,23.75,0.0,3.142,2.5,12.63,374.0,3.06,37.5,-6.25,3.142,2.02,4.75,-1
3.5200000000000022,181.40062830906294,7.151461490376172,28.263976439628564,0,3.141592653589793,1.92,4.04,155.57,6.68,23.5,0.0,3.142,2.5,16.98,151.29,2.73,35.5,0.0,3.142,2.02,5.15,219.19,10.55,24.75,6.25,3.152,2.5,19.4,232.97,3.69,35.26,-0.25,3.163,2.02,4.55,284.43,11.01,24.25,12.5,3.142,1.82,4.04,266.6,7.36,31.5,0.0,3.134,2.02,4.95,362.24,6.92,23.75,-6.25,3.142,2.5,12.63,372.5,3.06,37.25,0.0,3.142,2.02,4.75,-1
3.5600000000000023,180.2700692514778,7.151461490376172,28.263976439628564,0,3.141592653589793,1.92,4.04,154.63,6.68,23.5,0.0,3.142,2.5,16.98,149.88,2.73,35.5,-6.25,3.135,2.02,5.15,218.2,10.54,25.0,-6.25,3.142,2.5,19.4,231.56,3.66,35.25,6.5,3.156,2.02,4.55,283.46,11.01,24.75,-25.0,3.142,1.82,4.04,265.34,7.37,31.5,0.0,3.134,2.02,4.95,361.29,6.92,23.5,0.0,3.142,2.5,12.63,371.0,3.06,37.25,-12.5,3.142,2.02,4.75,-1
3.6000000000000023,179.13951019389265,7.151461490376172,28.263976439628564,0,3.141592653589793,1.92,4.04,153.69,6.68,23.5,-6.25,3.142,2.5,16.98,148.45,2.74,35.25,0.0,3.142,2.02,5.15,217.2,10.54,24.75,0.0,3.152,2.5,19.4,230.16,3.64,35.51,-0.25,3.163,2.02,4.55,282.47,11.01,23.75,-6.25,3.131,1.82,4.04,264.08,7.38,31.5,-6.25,3.134,2.02,4.95,360.34,6.92,23.5,-6.25,3.131,2.5,12.63,369.51,3.06,36.75,6.25,3.135,2.02,4.75,-1
3.6400000000000023,178.0089511363075,7.151461490376172,27.663976439628563,-15.0,3.141592653589793,1.92,4.04,152.75,6.68,23.25,6.25,3.142,2.5,16.98,147.04,2.74,35.25,0.0,3.135,2.02,5.15,216.21,10.53,24.75,6.25,3.142,2.5,19.4,228.74,3.61,35.5,-37.25,3.156,2.02,4.55,281.52,11.02,23.5,12.5,3.142,1.82,4.04,262.81,7.39,31.25,6.25,3.134,2.02,4.95,359.4,6.93,23.25,6.25,3.142,2.5,12.63,368.05,3.07,37.0,0.0,3.142,2.02,4.75,-1
3.6800000000000024,176.90239207872236,7.151461490376172,27.663976439628563,0,3.141592653589793,1.92,4.04,151.82,6.68,23.5,0.0,3.142,2.5,16.98,145.63,2.75,35.25,0.0,3.135,2.02,5.15,215.22,10.53,25.0,0.0,3.152,2.5,19.4,227.31,3.59,34.01,12.25,3.164,2.02,4.55,280.58,11.02,24.0,18.75,3.142,1.82,4.04,261.56,7.4,31.5,0.0,3.142,2.02,4.95,358.48,6.93,23.5,12.5,3.142,2.5,12.63,366.56,3.07,37.0,12.5,3.135,2.02,4.75,-1
3.7200000000000024,175.7958330211372,7.151461490376172,27.663976439628563,0,3.141592653589793,1.92,4.04,150.88,6.68,23.5,6.25,3.142,2.5,16.98,144.22,2.76,35.25,0.0,3.142,2.02,5.15,214.22,10.52,25.0,6.25,3.142,2.5,19.4,225.96,3.56,34.5,6.25,3.156,2.02,4.55,279.62,11.02,24.75,0.0,3.142,1.82,4.04,260.31,7.4,31.5,-6.25,3.134,2.02,4.95,357.54,6.93,24.0,-6.25,3.142,2.5,12.63,365.08,3.08,37.5,-6.25,3.142,2.02,4.75,-1
3.7600000000000025,174.68927396355207,7.151461490376172,27.663976439628563,0,3.141592653589793,1.92,4.04,149.94,6.68,23.75,0.0,3.142,2.5,16.98,142.81,2.76,35.25,0.0,3.135,2.02,5.15,213.22,10.52,25.25,-6.25,3.151,2.5,19.4,224.58,3.54,34.75,0.0,3.156,2.02,4.55,278.63,11.02,24.75,0.0,3.142,1.82,4.04,259.05,7.41,31.25,6.25,3.134,2.02,4.95,356.57,6.93,23.75,6.25,3.131,2.5,12.63,363.58,3.08,37.25,0.0,3.135,2.02,4.75,-1
3.8000000000000025,173.58271490596692,7.151461490376172,27.663976439628563,0,3.141592653589793,1.92,4.04,148.99,6.68,23.75,0.0,3.142,2.5,16.98,141.41,2.77,35.25,6.25,3.142,2.02,5.15,212.21,10.51,25.0,6.25,3.142,2.5,19.4,223.19,3.52,34.75,6.25,3.156,2.02,4.55,277.64,11.02,24.75,0.0,3.142,1.82,4.04,257.8,7.42,31.5,-12.5,3.134,2.02,4.95,355.62,6.94,24.0,0.0,3.142,2.5,12.63,362.1,3.09,37.25,0.0,3.142,2.02,4.75,-1
